Station,DateTime,Ohms0,Ohms1,Ohms2,Ohms3,OhmsRef,Vbat,Temp
Newbie_1,08/24/18 12:16, 44, 116, 675, 1180, 471, 10.29, 21.88
Newbie_1,08/24/18 12:18, 44, 116, 675, 1180, 471, 10.31, 21.88
Newbie_1,08/24/18 12:20, 44, 116, 676, 1180, 471, 10.30, 21.88
Newbie_1,08/24/18 12:23, 44, 115, 675, 1180, 471, 10.29, 21.88
Newbie_1,08/24/18 12:25, 44, 116, 675, 1180, 471, 10.27, 21.88
Newbie_1,08/24/18 12:27, 44, 115, 675, 1180, 471, 10.29, 21.94
Newbie_1,08/24/18 12:29, 44, 116, 675, 1180, 471, 10.29, 21.88
Newbie_1,08/24/18 12:31, 44, 116, 675, 1180, 470, 10.29, 21.94
Newbie_1,08/24/18 12:33, 44, 116, 675, 1180, 471, 10.29, 21.94
Newbie_1,08/24/18 12:35, 44, 116, 675, 1180, 470, 10.28, 21.88
Newbie_1,08/24/18 12:37, 44, 115, 675, 1180, 471, 10.29, 21.94
Newbie_1,08/24/18 12:39, 44, 115, 675, 1180, 471, 10.28, 21.94
Newbie_1,08/24/18 12:42, 44, 115, 675, 1180, 471, 10.29, 21.94
Newbie_1,08/24/18 12:44, 44, 116, 675, 1180, 470, 10.30, 21.94
Newbie_1,08/24/18 12:46, 44, 115, 675, 1180, 471, 10.30, 21.94
Newbie_1,08/24/18 12:48, 44, 116, 675, 1180, 470, 10.29, 21.94
Newbie_1,08/24/18 12:50, 44, 116, 675, 1180, 471, 10.28, 21.94
Newbie_1,08/24/18 12:52, 44, 115, 675, 1180, 470, 10.28, 21.94
Newbie_1,08/24/18 12:54, 44, 115, 675, 1180, 471, 10.29, 21.94
Newbie_1,08/24/18 12:56, 44, 115, 675, 1180, 471, 10.30, 21.94
Newbie_1,08/24/18 12:58, 44, 115, 675, 1180, 471, 10.28, 21.94
Newbie_1,08/24/18 13:01, 44, 115, 675, 1180, 470, 10.30, 22.00
Newbie_1,08/24/18 13:03, 44, 115, 675, 1180, 471, 10.30, 21.94
Newbie_1,08/24/18 13:05, 44, 115, 675, 1180, 471, 10.30, 22.00
Newbie_1,08/24/18 13:07, 44, 115, 675, 1180, 471, 10.30, 22.00
Newbie_1,08/24/18 13:09, 44, 115, 675, 1180, 470, 10.30, 22.00
Newbie_1,08/24/18 13:11, 44, 115, 675, 1180, 471, 10.29, 22.00
Newbie_1,08/24/18 13:13, 44, 115, 675, 1180, 471, 10.29, 22.00
Newbie_1,08/24/18 13:15, 44, 116, 675, 1180, 471, 10.29, 22.00
Newbie_1,08/24/18 13:17, 44, 115, 675, 1180, 471, 10.29, 22.00
Newbie_1,08/24/18 13:20, 44, 116, 675, 1180, 471, 10.30, 22.00
Newbie_1,08/24/18 13:22, 44, 115, 675, 1180, 470, 10.30, 22.00
Newbie_1,08/24/18 13:24, 44, 116, 675, 1180, 471, 10.29, 22.00
Newbie_1,08/24/18 13:26, 44, 116, 675, 1180, 470, 10.28, 22.06
Newbie_1,08/24/18 13:28, 44, 115, 675, 1180, 471, 10.29, 22.06
Newbie_1,08/24/18 13:30, 44, 116, 675, 1180, 470, 10.27, 22.06
Newbie_1,08/24/18 13:36, 44, 115, 675, 1180, 471, 10.30, 22.06
